Category,Organization / Business Name,Type,Contact Person,Email,Phone,Website,Service Area,Capabilities / Keywords,Verification Tier,Notes,Source(s),Seed Source
Real Estate / Build-Out,ATI Restoration — Cleveland,Business,Rudy Braydich — Regional Manager,,216-267-8330,https://atirestoration.com/regional-offices/cleveland-oh/,"Cleveland, Ohio; national restoration network",Mold / Microbial Remediation; Sanitation / Disinfection; Water Damage / Restoration; Construction / Build-Out,Source-verified,"Retained as a current Ohio-local commercial environmental-remediation route, not as a claimed cannabis specialist. ATI's current Cleveland page lists 4583 Manufacturing Road, Cleveland, OH 44135; Rudy Braydich as Regional Manager; 216-267-8330; and a local inquiry form. Its commercial environmental service documents mold remediation, humidity control and IICRC-certified technicians, and advises using a third-party industrial hygienist for testing. Use ATI for the remediation lane; keep assessment and post-remediation clearance independent. No cannabis-specific client or project claim is made.",https://atirestoration.com/regional-offices/cleveland-oh/ | https://atirestoration.com/commercial/mold-environmental/ | https://atirestoration.com/locations/,"Facility & EHS gap research — 2026-08-16; source pages retrieved and reviewed | Pass 1 research (round 6), 2026-08-16; source pages retrieved and reviewed | v67-RE2 Real Estate / Build-Out disposition pass, 2026-08-23; current Cleveland office and commercial remediation pages retrieved and reviewed"
Cultivator / Processor / Dispensary,Ayr Wellness Ohio,Business,"Robert Vanisko — SVP, Public Affairs",comms@ayrwellness.com,786-885-0397,https://ayrwellness.com/,"8 Ohio dispensaries: Akron, Dayton, Goshen, Lewis Center, Niles, Parma Heights, Streetsboro, Woodmere",Cannabis Operator,Source-verified,"Documented vendor relationship: DEM360 (security/IT services) names this organization among its current cannabis clients. DEM360 is also an entry in this Directory. Specific Ohio-facility attribution is not established beyond DEM360's general client list. Documented design relationship, geography unspecified: CLC Design Studio (also in this Directory) designed two AYR Wellness dispensaries per CLC's own company profile.DCC roster-verified: all 8 Ohio locations confirmed active, held under five different legal entities — PWC D1 LLC, Daily Releaf LLC (x2), Heaven Wellness LLC (x2), Good Day Dispensary LLC, Twice The Wellness LLC — typical of a multi-state operator using separate LLCs per storefront.",https://www.globenewswire.com/news-release/2025/12/30/3211626/0/en/ayr-wellness-announces-leadership-update.html | https://ayrwellness.com/ | https://ayrdispensaries.com/,"Organizations | Batch 1 audit, 2026-08-15; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 2), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 4), 2026-08-16; source pages retrieved and reviewed | DCC address-finding reconciliation pass, 2026-08-17; source pages retrieved and reviewed; roster-verified"
Cultivator / Processor / Dispensary,Backroad Wellness,Business,Pat and Deb Hennessey — Founders / Owners,info@backroadwellness.com,New Boston: 740-231-6963,https://www.backroadwellness.com/FAQs/,"New Boston, Cambridge and Lima, Ohio (Southern and Eastern Ohio)",Cannabis Operator,Source-verified,"Pat/Deb Hennessey ownership confirmed. Current Cambridge and Lima locations found in addition to New Boston — corrected from a Portsmouth-only characterization. Documented current wholesale/distribution relationship: named as a current Ohio dispensary partner carrying Klutch Cannabis products, per Klutch's own statewide locator. Klutch is also an entry in this Directory.",https://www.backroadwellness.com/About-Us/Ownership/ | https://www.ohiocannabisexpo.com/ | Gmail thread 30 Jul 2026 + Expo meeting,"Organizations | Warm Contacts | Batch 1 audit, 2026-08-14; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 5), 2026-08-16; source pages retrieved and reviewed"
Accounting & Tax,Baker Tilly,Business,Christopher E. Jeffrey — Principal / Cannabis Industry Leader,,312-729-8184,https://www.bakertilly.com/industries/cannabis,Ohio offices in the Cleveland area and Columbus; U.S. cannabis practice,Accounting; Tax,Source-verified,"Baker Tilly’s current profile publishes Christopher E. Jeffrey’s direct phone and a named leave-a-message route. He remains a principal with cannabis expertise. The firm’s Ohio offices establish delivery capacity, not a named Ohio cannabis client.",https://www.bakertilly.com/industries/cannabis | https://www.bakertilly.com/ohio | https://www.bakertilly.com/contact/directory/christopher-jeffrey,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 8 audit, 2026-08-15 | Legal & Accounting issue-resolution pass, 2026-08-22; source pages retrieved and reviewed | Accounting & Tax outreach-enrichment pass, 2026-08-23; source pages retrieved and reviewed"
Banking & Financial Services,Bankcard International Group,Business,Jon Zweiger — National Sales Manager,info@bighqs.com,800-895-1580,https://bankcardinternationalgroup.com/industries-served/cannabis-payment-processing/,United States,Banking / Financial Services; Payments / Merchant Services,Source-verified,Current first-party cannabis page explicitly distinguishes compliant alternative payment methods from prohibited credit-card processing for plant-touching cannabis.,https://bankcardinternationalgroup.com/industries-served/cannabis-payment-processing/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 8 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 7, from v50 queue), 2026-08-16; source pages retrieved and reviewed | Banking & Financial Services audit, 2026-08-22; source pages retrieved and reviewed"
Accounting & Tax,BeachFleischman — Cannabis Practice (formerly Indiva Advisors),Business,"Jessica Velazquez, CPA, CFE — Principal, Cannabis Practice Leader",info@indivaadvisors.com,833-880-0420,https://www.indivaadvisors.com/,"National cannabis practice (20+ states); Las Vegas, NV office; firm HQ Tucson, AZ",Accounting; Tax,Source-verified,"MATERIAL ENTITY-RESOLUTION CORRECTION. Indiva Advisors LLP is no longer an independent CPA firm — it joined BeachFleischman PLLC effective November 1, 2024 and now practices as BeachFleischman PLLC from its existing Las Vegas office. Jessica Velazquez, previously Indiva's Managing Partner and founder, is now Principal and Cannabis Practice Leader at BeachFleischman. Independently confirmed via BeachFleischman's own announcement, the PRNewswire release, Inside Public Accounting and CPA Practice Advisor. BeachFleischman also acquired the Indiva Advisors trademark for cannabis go-to-market use, which is why the Indiva name still appears in places — do not re-add Indiva as a separate current firm.",https://www.indivaadvisors.com/280e-consulting,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 8 audit, 2026-08-15; source pages retrieved and reviewed"
Cultivator / Processor / Dispensary,Beneleaves,Business,"Bill Williams Jr. — President/Owner; Emilie Ramach — VP, Business & Government Affairs",info@beneleaves.com,614-470-2420,https://www.beneleaves.com/ourteam,Central Ohio,Cannabis Operator,Source-verified,"Ohio cannabis operator confirmed. Bill Williams Jr. — President/Owner; Emilie Ramach — VP, Business & Government Affairs.Documented brand-distribution relationship: named as the Ohio launch partner in Black Buddha Cannabis's original 2022 launch announcement. Black Buddha is also an entry in this Directory.",https://ochbs.com/speakers/ | https://www.beneleaves.com/contact-us | https://www.cannabismarketspotlight.com/ohio/home,"IgniteIt Network | Organizations | Speakers | Batch 2 audit, 2026-08-14; source pages retrieved and reviewed"
Legal & Licensing,"Benesch, Friedlander, Coplan & Aronoff LLP",Business,Kristopher Chandler; Rachel Winder,,614-223-9377; 614-223-9316,https://www.beneschlaw.com/resources/issue-2-passes-and-recreational-marijuana-is-on-the-horizon-for-ohio-what-is-next-for-the-buckeye-state.html,Ohio and national,Legal; Licensing; Regulatory Compliance,Source-verified,Cannabis contacts remain valid and the firm's practice is sound. Source caveat: the older Issue 2 article previously cited here should not be treated as a current regulatory source — it is retained only as provenance for the contacts.,https://www.beneschlaw.com/resources/issue-2-passes-and-recreational-marijuana-is-on-the-horizon-for-ohio-what-is-next-for-the-buckeye-state.html,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 6 audit, 2026-08-15; source pages retrieved and reviewed"
Insurance,Berkley,Business,"Michael Beranek — National Practice Leader, Berkley Crime",mberanek@berkleycrime.com | info@berkleycrime.com,646-522-7362 | 844-44-CRIME,https://www.berkley.com/business-insurance/cannabis,Ohio | United States,Insurance,Source-verified,"Current first-party evidence resolves the earlier undifferentiated-Berkley problem. Berkley's cannabis vertical identifies distinct operating businesses; Berkley Crime's February 25, 2025 page states its admitted cannabis crime product is available in every state that has legalized cannabis, including Ohio, and names Michael Beranek as the national contact. Admiral separately publishes cannabis casualty coverage and a Berkley Connect workers-compensation route. Retained as a Berkley-family provider; referrals should identify the required coverage and route to the appropriate Berkley unit rather than assume one policy or paper covers everything.",https://www.berkley.com/business-insurance/cannabis | https://www.berkleycrime.com/berkley-crime-writes-crime-insurance-for-the-cannabis-industry/ | https://www.admiralins.com/casualty/cannabis/dispensaries/ | https://www.berkleycrime.com/contact-us/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 5 audit, 2026-08-15 | Pass 1 research (round 2), 2026-08-16; source pages retrieved and reviewed | Insurance evidence/source repair, 2026-08-22; source pages retrieved and reviewed"
Packaging & Labeling,Berlin Packaging,Business,,info@BerlinPackaging.com,800-363-9822,https://www.berlinpackaging.com/cannabis-cbd-packaging/,Ohio and nationwide,Packaging / Labeling,Source-verified,"Flag cleared: the previously uncertain Ohio-office claim now checks out — Berlin currently lists Cleveland/Twinsburg and Columbus locations, and 800-363-9822 is current. No individual applies — large supplier; routes inquiries through Customer Care. For entity background: Global CEO & President is William ""Bill"" Hayes, per current company sustainability material. No cannabis-specific individual is published, so outreach should still use the general packaging-consultant route rather than Hayes directly.",https://www.berlinpackaging.com/cannabis-cbd-packaging/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 4 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 2), 2026-08-16; source pages retrieved and reviewed | Reconciliation pass against a duplicate/older-snapshot research round, 2026-08-16; source pages retrieved and reviewed"
